"Pair ID","Group","Round","Proposer","Offer A (€)","Offer B (€)","Response","Timestamp","","","","","",""
"Pair_pdiqJ9","3","1","Person B","€500","€500","Too low - counteroffer","2025-12-04 15:25:15","","","Gruppe","Anzahl","Grund",""
"Pair_pdiqJ9","3","2","Person A","€817","€183","Not accept","2025-12-04 15:25:31","","","Gruppe 1","30","1","9"
"Pair_XikYbm","4","1","Person B","€200","€800","Better offer outside option","2025-12-04 15:26:32","","","Gruppe 2","16","4",""
"Pair_XikYbm","4","2","Person A","€400","€600","Better offer outside option","2025-12-04 15:27:16","","","Gruppe 3","23","2",""
"Pair_XikYbm","4","3","Person B","€220","€780","Too low - counteroffer","2025-12-04 15:27:36","","","Gruppe 4","18","2",""
"Pair_XikYbm","4","4","Person A","€200","€800","Accept - offer accepted","2025-12-04 15:27:58","","","nicht gespielt","5","",""
"Pair_QxgMN1","1","1","Person A","€350","€650","Too low - counteroffer","2025-12-04 15:29:02","","","fehler","5","",""
"Pair_QxgMN1","1","2","Person B","€300","€700","Better offer outside option","2025-12-04 15:29:15","","","summe","87","",""
"Pair_QxgMN1","1","3","Person A","€1,000","€0","Too low - counteroffer","2025-12-04 15:29:28","","","","","",""
"Pair_QxgMN1","1","4","Person B","€210","€790","Accept - offer accepted","2025-12-04 15:29:40","","","","","",""
"Pair_yqa2-O","3","1","Person A","€300","€700","Better offer outside option","2025-12-04 17:07:50","","","","","",""
"Pair_yqa2-O","3","2","Person B","€250","€750","Better offer outside option","2025-12-04 17:08:37","","","","","",""
"Pair_yqa2-O","3","3","Person A","€300","€700","Better offer outside option","2025-12-04 17:08:52","","","","","",""
"Pair_yqa2-O","3","4","Person B","€250","€750","Too low - counteroffer","2025-12-04 17:09:32","","","","","",""
"Pair_yqa2-O","3","5","Person A","€300","€700","Too low - counteroffer","2025-12-04 17:09:58","","","","","",""
"Pair_yqa2-O","3","6","Person B","€250","€750","Better offer outside option","2025-12-04 17:10:24","","","","","",""
"Pair_yqa2-O","3","7","Person A","€400","€600","Too low - counteroffer","2025-12-04 17:10:57","","","","","",""
"Pair_yqa2-O","3","8","Person B","€251","€749","Too low - counteroffer","2025-12-04 17:11:15","","","","","",""
"Pair_yqa2-O","3","9","Person A","€400","€600","Too low - counteroffer","2025-12-04 17:11:20","","","","","",""
"Pair_yqa2-O","3","10","Person B","€250","€750","Accept - offer accepted","2025-12-04 17:11:31","","","","","",""
"Pair_AsaBHN","4","1","Person A","€300","€700","Too low - counteroffer","2025-12-04 17:08:33","","","","","",""
"Pair_AsaBHN","4","2","Person B","€300","€700","Accept - offer accepted","2025-12-04 17:10:15","","","","","",""
"Pair_CrHgSy","1","1","Person B","€300","€700","Accept - offer accepted","2025-12-04 17:08:32","","","","","",""
"Pair_J6w6rW","3","1","Person A","€500","€500","Too low - counteroffer","2025-12-04 17:09:23","","","","","",""
"Pair_J6w6rW","3","2","Person B","€250","€750","Too low - counteroffer","2025-12-04 17:10:13","","","","","",""
"Pair_J6w6rW","3","3","Person A","€350","€650","Accept - offer accepted","2025-12-04 17:12:18","","","","","",""
"Pair_2WErlN","2","1","Person B","€300","€700","Not accept","2025-12-04 17:07:57","","","","","",""
"Pair_nZ-LX4","4","1","Person A","€250","€750","Better offer outside option","2025-12-04 17:08:05","","","","","",""
"Pair_nZ-LX4","4","2","Person B","€450","€550","Accept - offer accepted","2025-12-04 17:10:22","","","","","",""
"Pair_UAFZDt","1","1","Person B","€250","€750","Better offer outside option","2025-12-04 17:08:34","","","","","",""
"Pair_UAFZDt","1","2","Person A","€300","€700","Not accept","2025-12-04 17:08:57","","","","","",""
"Pair_7chm8g","1","1","Person A","€300","€700","Accept - offer accepted","2025-12-04 17:09:03","","","","","",""
"Pair_sgHjjH","2","1","Person A","€500","€500","Better offer outside option","2025-12-04 17:08:58","","","","","",""
"Pair_sgHjjH","2","2","Person B","€600","€400","Accept - offer accepted","2025-12-04 17:10:16","","","","","",""
"Pair__3h5XQ","3","1","Person A","€250","€750","Accept - offer accepted","2025-12-04 17:09:13","","","","","",""
